id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7f6d409b-c869-41e0-9604-1698ec062c35,Sunset,13,6,21,6,Silver,1.0,158.292,2,2,0,11,13,1,0,4
772f6bc7-525b-42e3-8e9a-e638e2a61ae5,Lotus,11,3,11,11,Bronze,3.0,177.722,2,1,1,13,5,0,0,4
3477832b-065c-4c9e-a891-ea89f1ec2b8a,Split,14,9,17,12,Bronze,3.0,201.455,3,0,2,13,9,0,2,2
f94e6466-d661-43a1-97b8-0a0e8a82c983,Summit,21,7,23,20,Bronze,3.0,219.536,1,5,2,14,14,0,0,4
c0b207fe-5eff-40df-9fe3-e9fd04613822,Haven,20,6,13,14,Bronze,3.0,228.091,0,1,3,13,9,0,0,4
546bc7ec-8c28-4d16-af30-836ccb11a8fc,Haven,24,6,19,14,Silver,1.0,240.077,1,2,1,14,12,0,0,4
c55554b4-85d5-4a9b-b684-b70eb01c1ffe,Split,16,10,7,8,Silver,1.0,206.368,1,1,2,13,6,0,0,4
75115c4d-de33-46e1-a209-a9a32c0510dd,Sunset,23,9,19,15,Silver,1.0,285.042,2,1,3,13,11,1,0,4
cfb8ee41-a486-4cdd-8b17-6f7a7656de07,Abyss,19,3,20,11,Silver,1.0,211.385,1,2,3,13,13,0,0,4
f5eb0b11-b55d-4314-9ed1-40b249f911e0,Abyss,13,5,12,10,Silver,1.0,201.2,1,1,4,13,7,0,0,4
cc3a2961-6ac1-4afd-87e4-d05e13fb30ce,Split,12,7,10,8,Silver,1.0,180.824,2,0,1,13,4,1,0,4
395ff478-f955-4c35-b53c-1aaac8e21bc4,Lotus,26,5,14,23,Silver,1.0,354.053,2,2,2,13,6,0,0,4
5425287b-baf4-4c58-bf12-635fb675efa8,Summit,7,3,17,8,Silver,1.0,113.45,0,0,0,7,13,0,0,4
58a6c35f-5517-45c8-8aa7-604a8880a077,Split,4,0,4,3,Silver,1.0,92.923,0,0,0,0,4,0,0,4
ff40e8ef-704a-4f52-9b52-4cb5385ec72d,Lotus,11,3,13,11,Silver,1.0,233.812,2,0,0,3,13,0,0,4
1e7ba774-e078-4541-8cdd-3f0d2bdd7f3f,Lotus,17,7,9,11,Silver,1.0,275.765,2,0,1,13,4,0,0,4
6de1ac50-a749-4845-82ca-36511a10e503,Summit,18,6,23,15,Silver,1.0,215.192,0,3,0,12,14,0,0,4
87358c28-2970-4da3-8e3b-c073ce948f84,Abyss,12,3,14,11,Silver,1.0,184.632,1,2,0,6,13,1,0,4
6dc2b03d-c8bc-4786-baad-b67a5129d9c8,Ascent,13,1,15,10,Silver,1.0,236.312,2,3,0,3,13,0,0,4
b50c3977-c786-4175-870c-3925f0764743,Sunset,17,4,17,14,Silver,1.0,260.381,4,5,0,8,13,0,1,3
f2171d01-d991-4238-926d-5057dd945165,Abyss,17,4,12,10,Silver,1.0,225.045,4,1,1,13,9,1,1,3
502db62b-6ac5-445f-8db7-684528aeb756,Sunset,13,2,15,12,Silver,1.0,213.389,4,4,0,5,13,0,1,3
fb25e535-026b-4b48-a721-b665b4516540,Haven,9,7,18,7,Silver,1.0,133.208,3,2,0,11,13,0,0,4
ad26c74c-d2af-4769-ad43-5380f41e4845,Haven,19,3,16,14,Silver,1.0,239.909,4,3,1,13,9,0,0,4
b9bb680d-6b1d-49dc-85ec-e6acb6672889,Split,23,2,14,17,Silver,1.0,305.0,4,0,0,7,13,0,1,3
1a5cefe6-b185-4014-a5e9-c8d1bb2c9fdf,Ascent,29,11,18,25,Silver,1.0,287.5,4,0,1,16,14,1,1,3
c3b550fa-7769-45a4-9d81-887174835cb3,Abyss,14,8,16,7,Silver,1.0,207.842,1,2,0,6,13,0,1,3
eda2b682-76ec-497b-a063-34708f170f4e,Split,11,4,12,5,Silver,1.0,157.278,1,1,0,5,12,0,1,3
ab80b754-d3aa-4119-8be4-70df299ec5cb,Summit,16,3,15,18,Silver,1.0,225.955,4,4,1,13,9,0,0,4
af628786-3c7c-4bbd-8df8-68c275e05032,Lotus,16,3,17,15,Silver,1.0,252.75,6,3,2,13,7,0,0,4
cffc377a-b5e3-4d94-be05-44ce822f8bce,Sunset,20,4,16,13,Silver,1.0,260.583,3,3,1,13,11,1,0,4
7bf5e74a-d583-4ceb-9824-46e76931e85d,Haven,7,7,16,10,Silver,1.0,131.389,0,2,0,5,13,0,0,4
b7185f6e-3404-45cd-bec2-7264c80ec1ed,Split,11,0,2,7,Silver,1.0,159.643,0,0,1,8,1,0,0,4
6359eba5-e28e-4e27-a461-5eaa7fcfa7b7,Sunset,17,6,12,12,Silver,1.0,240.316,1,0,2,13,6,0,0,4
3cf5c793-7f58-411d-9a4f-2837f8e23a4b,Summit,16,2,4,12,Silver,1.0,301.857,4,0,1,8,1,1,0,4
32daf8d4-fcbd-44d4-9051-ed0afc0b2b0a,Haven,27,4,13,13,Silver,1.0,371.35,3,1,2,13,7,0,2,2
21d756b1-6889-44d1-a565-2e8b61a64038,Ascent,8,4,16,8,Silver,1.0,163.765,1,1,0,4,13,0,2,2
f8bc6db2-6139-4c39-82dd-5f071b6a9b09,Summit,19,1,17,16,Silver,1.0,254.381,3,3,1,13,8,1,3,1
261c971e-5922-4a57-b7d1-1536067adbd8,Sunset,11,6,15,11,Silver,1.0,209.333,1,5,0,5,13,0,0,4
dedbb6be-690b-4df3-9626-dd4fd6677f43,Haven,21,3,18,22,Silver,1.0,256.125,2,4,0,11,13,0,0,4
6ba4d98e-a0e2-466a-84f5-a4501ece800e,Abyss,15,5,17,5,Silver,1.0,212.818,5,4,0,9,13,1,0,4
a40efea1-f9e0-49c7-9e68-418159b6bd9d,Summit,19,11,13,15,Silver,1.0,300.789,1,1,0,6,13,0,2,2
4e2e8ed4-6b00-4b8f-9bd4-bcf1b748a9b1,Lotus,17,2,15,7,Silver,1.0,256.2,2,0,0,7,13,1,2,2
2c007488-c53d-4530-8a67-ffe1f3e867e5,Ascent,9,7,11,5,Silver,1.0,153.133,0,1,0,2,10,0,2,2
3008d0b0-4e27-4f0a-8422-d914738bf7d5,Lotus,18,3,7,5,Silver,1.0,277.294,5,1,1,13,4,1,2,2
e837007f-07b5-45d2-ad01-0bdbc76de266,Summit,18,4,15,15,Silver,1.0,246.619,2,2,2,13,8,0,2,2
46fb99ad-e03d-4502-a5a7-c968d62ee4b2,Abyss,20,5,15,9,Silver,1.0,262.435,6,2,3,13,10,1,2,2
22fdcbee-321b-4e47-b57e-6004e9481b70,Split,17,6,19,8,Silver,1.0,188.714,1,3,1,15,13,1,0,4
dfa652f1-f891-4a4c-a907-772886f33e14,Split,14,3,15,7,Silver,1.0,231.444,1,2,0,5,13,1,1,3
