id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
740550bd-232a-43cc-ba1f-2320dd4eaecd,Lotus,7,8,17,7,Platinum,3,108.95,2,1,0,7,13,1,2,2
21e29a7f-e769-49ef-a8b5-48651b3b6d30,Haven,17,6,14,11,Platinum,3,201.455,2,1,1,13,9,0,2,2
6b7d6aa1-8b3c-4d20-8665-75d42ffc16b9,Haven,15,12,17,9,Platinum,3,204.381,0,3,2,13,8,0,2,2
c3531593-bff3-42e8-846f-e5c7d0eebdf0,Summit,12,2,16,11,Platinum,3,203.765,3,1,0,4,13,0,2,2
0fba55cf-0a39-4e65-9ab9-c476541671fa,Ascent,10,5,14,9,Diamond,1,183.75,1,3,0,3,13,1,2,2
0341a49d-9195-4c84-93e7-735dd4f143ba,Split,22,14,19,15,Diamond,1,255.417,2,2,0,11,13,1,1,3
5e51dca9-c06e-4da5-9703-8b65deeb841c,Sunset,23,2,14,18,Platinum,3,265.909,2,2,1,13,9,1,1,3
f8864ac3-5c4c-4e86-8b11-c5f236b5a03f,Lotus,20,19,12,14,Platinum,3,276.333,0,0,2,13,8,1,1,3
2218d91e-09c1-4e43-8330-1936534f5ebb,Summit,21,10,19,17,Diamond,1,223.731,1,2,1,14,12,1,1,3
5b61face-e6a3-41ec-8d46-e82f6a71c4f5,Haven,16,7,18,11,Diamond,1,205.609,2,3,2,13,10,0,1,3
9789b229-5c87-48d9-a8df-a0618fed0852,Abyss,22,3,20,10,Diamond,1,232.231,5,2,1,14,12,1,1,3
25d6e39a-6f36-47e5-befb-2d4162f449bf,Split,19,6,25,16,Diamond,1,192.767,7,5,0,14,16,0,1,3
a8d8b4a1-2cb8-4c46-9da6-8a8156b7e611,Lotus,10,5,18,8,Diamond,1,160.667,1,4,0,8,13,0,1,3
2e3121de-0874-4074-835c-14ee854e7104,Sunset,13,12,19,8,Diamond,1,187.905,2,1,0,8,13,0,1,3
3483cee3-453f-49bf-9e70-37d606355936,Lotus,7,7,16,5,Diamond,1,139.0,1,1,0,4,13,1,2,2
f38afd3b-a4d4-43a9-96aa-f2ecb91e3f92,Sunset,9,10,16,7,Diamond,1,138.524,0,2,0,8,13,0,2,2
0cc0af35-fcbd-4c4b-82de-00cf881456bc,Lotus,18,12,18,14,Diamond,1,199.087,1,1,1,13,10,1,2,2
48943eed-12f1-44a8-9205-30d1725897a3,Sunset,17,16,7,14,Diamond,1,317.867,2,1,2,13,2,1,2,2
c0d773f3-fd54-4c79-80d5-338652fe3e33,Ascent,23,5,14,21,Diamond,1,326.75,2,3,3,13,7,0,2,2
c7707c8f-383c-44fb-86dc-d2d7036fb92a,Abyss,24,5,13,15,Diamond,1,296.333,2,1,4,13,8,0,1,3
e5795a59-4303-4ff6-be53-fd8256818705,Abyss,17,15,21,12,Diamond,1,203.208,1,1,5,13,11,1,1,3
e43f45b2-a82c-4e7f-a396-7ad5bcd4ce1c,Haven,12,8,14,12,Diamond,2,150.174,2,3,1,13,10,0,2,2
fde9515a-0877-4434-bb36-4feca5c753ec,Sunset,9,1,13,11,Diamond,2,188.533,1,1,0,2,13,1,2,2
fc8fcae4-e025-40b8-90d1-2cdb7c02f245,Split,11,4,16,11,Diamond,2,151.95,1,5,1,13,7,0,2,2
040e0560-e2dd-4e62-936a-efed0204ffb2,Abyss,17,6,18,10,Diamond,2,217.81,1,3,2,13,8,1,2,2
281b7dfa-9746-409d-be08-78a609913438,Abyss,19,9,25,13,Diamond,2,201.25,2,1,0,13,15,1,2,2
bcb6c1ef-c41e-4d00-a9ec-67a46a512d9d,Summit,17,3,15,15,Diamond,2,206.5,5,3,1,13,9,0,2,2
772ee11c-309c-4a88-b609-784ab9f503d5,Lotus,10,4,16,9,Diamond,2,158.353,1,1,0,4,13,1,3,1
