rango,mapa_Abyss,mapa_Ascent,mapa_Bind,mapa_Breeze,mapa_Corrode,mapa_Fracture,mapa_Haven,mapa_Icebox,mapa_Lotus,mapa_Pearl,mapa_Split,mapa_Sunset,id_partida,kills,asistencias,muertes,headshots,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6887a0ef-25d5-4a5e-b98a-e1aa5be29e21,18.0,2.0,21.0,13.0,2.0,200.179,5.0,2.0,0.0,13.0,15.0,1.0,1.0,3.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1916a9a6-66af-478a-b475-aa8423e1c990,8.0,4.0,16.0,9.0,2.0,119.091,0.0,2.0,1.0,13.0,9.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c1801b72-8cc0-41ba-85cd-b7123360c634,8.0,0.0,15.0,9.0,2.0,122.833,1.0,4.0,0.0,5.0,13.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,cdd48ff4-86e7-4c9f-95b9-3cbda5511d04,16.0,6.0,11.0,12.0,2.0,202.333,0.0,1.0,1.0,13.0,8.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,631f0c82-92d9-45c2-899d-54fd676d4182,14.0,1.0,14.0,10.0,2.0,198.9,1.0,1.0,0.0,7.0,13.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ef7c7860-3447-4cec-89a7-36c92d7f9b04,20.0,1.0,16.0,18.0,2.0,227.217,3.0,1.0,0.0,10.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56a89729-ac1e-434d-80c6-f4b71dcfda55,15.0,3.0,15.0,12.0,1.0,191.0,2.0,4.0,0.0,10.0,13.0,1.0,0.0,4.0
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1fdcc818-dbec-426f-81ac-b34ad334cd13,16.0,1.0,16.0,15.0,1.0,139.929,3.0,3.0,1.0,15.0,13.0,0.0,0.0,4.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7d2a26ec-e671-44e4-90bf-86d58f9fabe7,20.0,4.0,20.0,18.0,1.0,213.036,2.0,2.0,0.0,14.0,14.0,1.0,0.0,4.0
5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a9551510-3e9e-4c00-ab12-d838cb027b1b,25.0,1.0,16.0,22.0,1.0,308.261,5.0,0.0,0.0,10.0,13.0,1.0,0.0,4.0
