id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,360DIST,Sunset,Competitive,Reyna,Duelista,16,3,17,8,"['360Omar', 'PinkMonster', 'BULLYPHANTOM', 'TWILIGHT']",Bronze,2.0,"['Deadlock', 'Miks', 'Reyna', 'Jett', 'Cypher']",251.474,3,4,0,6,13,1787532708,"Monday, August 24, 2026 12:51 AM"
36eeca63-a129-4430-acef-0d9222f6308a,360DIST,Lotus,Competitive,Sova,Iniciador,8,12,22,4,"['PinkMonster', 'R14TESEO', 'RogerCC', '360Omar']",Bronze,2.0,"['Miks', 'Reyna', 'Jett', 'Chamber', 'Sova']",144.308,2,2,1,14,12,1787530219,"Monday, August 24, 2026 12:10 AM"
e2d37204-dec6-48f9-b9f2-2424cde32cf4,360DIST,Haven,Competitive,Veto,Centinela,10,2,19,7,"['cafechuchoo', '360Omar', 'sumoenzo', 'GasNatural']",Bronze,2.0,"['Reyna', 'Veto', 'Raze', 'Chamber', 'Fade']",114.083,0,3,0,11,13,1787511308,"Sunday, August 23, 2026 06:55 PM"
9b5fc711-9b9a-40eb-913b-d5b3f967aa9a,360DIST,Sunset,Competitive,Chamber,Centinela,7,3,15,5,"['fuchisul', 'Foxtrot OWO', 'AmadorrrRivasss', '360Omar']",Bronze,2.0,"['Deadlock', 'Yoru', 'Clove', 'Raze', 'Chamber']",89.75,1,4,1,13,11,1787262537,"Thursday, August 20, 2026 09:48 PM"
1f4e5d4a-b28e-42a6-8096-fb80d34676b2,360DIST,Abyss,Competitive,Phoenix,Duelista,14,5,18,8,"['YSF', 'daniessj00', 'Painjuancaxzcr', '360Omar']",Bronze,2.0,"['Neon', 'KAY/O', 'Jett', 'Chamber', 'Phoenix']",160.462,1,4,1,13,13,1787246605,"Thursday, August 20, 2026 05:23 PM"
33139f5a-231b-4709-82e6-605fa9532a81,360DIST,Haven,Competitive,Reyna,Duelista,11,9,20,4,"['360Omar', 'Espu', 'PinkMonster', 'pachecoo']",Bronze,2.0,"['Chamber', 'Skye', 'Miks', 'Jett', 'Reyna']",186.818,3,5,0,9,13,1787586839,"Monday, August 24, 2026 03:53 PM"
8bd24b00-f999-4578-b0a3-ea1bd714e21d,360DIST,Ascent,Competitive,Reyna,Duelista,16,5,17,10,"['MRMOLON82', 'PinkMonster', '360Omar', 'YAZEEED']",Bronze,2.0,"['KAY/O', 'Reyna', 'Miks', 'Chamber', 'Cypher']",196.958,4,5,1,13,11,1787583728,"Monday, August 24, 2026 03:02 PM"
42851688-f518-451b-92e8-4e8e9b9bd94c,360DIST,Bind,Escalation,Omen,Controlador,12,4,21,6,"['BELAL', 'Mino2', 'Mod034', 'helicotigre87m']",Unrated,,"['Omen', 'Viper', 'Sova', 'Phoenix', 'Deadlock']",3672.0,0,0,0,10,12,1787578388,"Monday, August 24, 2026 01:33 PM"
696b459c-e0ed-4318-a4af-40fd29a74173,360DIST,Bind,Swiftplay,Reyna,Duelista,2,1,6,1,"['sebbfrost', 'teXs', 'swift', 'LKTKOUT']",Unrated,,"['Clove', 'Yoru', 'Gekko', 'Reyna', 'Sage']",117.667,1,2,0,1,5,1787577081,"Monday, August 24, 2026 01:11 PM"
89e257a8-2670-4156-a8b4-904318a06edc,360DIST,Haven,Competitive,Gekko,Iniciador,9,4,22,6,"['3ndoSki', '360Omar', 'PinkMonster', 'R3DA']",Bronze,2.0,"['Omen', 'Chamber', 'Neon', 'Reyna', 'Gekko']",102.458,1,2,0,11,13,1787603180,"Monday, August 24, 2026 08:26 PM"
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,360DIST,Ascent,Competitive,Reyna,Duelista,12,5,25,5,"['FerranTorres106', 'PinkMonster', 'Sigmund Freud', '360Omar']",Bronze,2.0,"['Phoenix', 'Reyna', 'Miks', 'Raze', 'Chamber']",141.571,3,10,0,13,15,1787599184,"Monday, August 24, 2026 07:19 PM"
b0ad034a-3941-404f-a3c7-286d6421751d,360DIST,Ascent,Competitive,Reyna,Duelista,2,0,5,1,"['mouad', '360Omar', 'zombozoo', 'Mamaabrelapuerta']",Bronze,1.0,"['Reyna', 'Clove', 'Breach', 'Deadlock', 'Skye']",46.077,0,1,0,0,5,1787618650,"Tuesday, August 25, 2026 12:44 AM"
4fc9000b-e73f-4b94-b527-c9888e51271d,360DIST,Sunset,Competitive,Reyna,Duelista,18,3,22,16,"['360Omar', 'jojoy1585', 'Kenirres', 'PinkMonster']",Bronze,1.0,"['KAY/O', 'Harbor', 'Cypher', 'Neon', 'Reyna']",220.652,2,3,0,10,13,1787615323,"Monday, August 24, 2026 11:48 PM"
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,360DIST,Summit,Competitive,Tejo,Iniciador,6,6,13,2,"['PinkMonster', 'LEIT', 'G2 Fénix', '360Omar']",Bronze,1.0,"['Miks', 'Neon', 'Phoenix', 'Tejo', 'Chamber']",122.421,1,0,1,13,6,1787613364,"Monday, August 24, 2026 11:16 PM"
