id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
c9ff424b-9974-44bf-8fe3-ef879bfe34d5,360Omar,Sunset,Competitive,Deadlock,Centinela,12,5,17,8,"['PinkMonster', '360DIST', 'BULLYPHANTOM', 'TWILIGHT']",Silver,1,"['Deadlock', 'Miks', 'Reyna', 'Jett', 'Cypher']",223.684,2,2,0,6,13,1787532708,"Monday, August 24, 2026 12:51 AM"
36eeca63-a129-4430-acef-0d9222f6308a,360Omar,Lotus,Competitive,Chamber,Centinela,29,3,16,16,"['PinkMonster', 'R14TESEO', 'RogerCC', '360DIST']",Silver,1,"['Miks', 'Reyna', 'Jett', 'Chamber', 'Sova']",306.885,5,3,1,14,12,1787530219,"Monday, August 24, 2026 12:10 AM"
e2d37204-dec6-48f9-b9f2-2424cde32cf4,360Omar,Haven,Competitive,Raze,Duelista,25,7,18,12,"['cafechuchoo', '360DIST', 'sumoenzo', 'GasNatural']",Silver,2,"['Reyna', 'Veto', 'Raze', 'Chamber', 'Fade']",297.792,3,1,0,11,13,1787511308,"Sunday, August 23, 2026 06:55 PM"
2b76f826-b3d4-40bc-9d5c-810b2cc242d4,360Omar,Split,Competitive,Chamber,Centinela,8,5,13,4,"['elGitano', 'Silva', 'PECHUGONA', '0rumble']",Silver,2,"['Sage', 'Jett', 'Neon', 'Brimstone', 'Chamber']",171.533,0,3,0,2,12,1787499799,"Sunday, August 23, 2026 03:43 PM"
33139f5a-231b-4709-82e6-605fa9532a81,360Omar,Haven,Competitive,Chamber,Centinela,25,3,16,10,"['Espu', 'PinkMonster', 'pachecoo', '360DIST']",Silver,1,"['Chamber', 'Skye', 'Miks', 'Jett', 'Reyna']",315.273,4,2,0,9,13,1787586839,"Monday, August 24, 2026 03:53 PM"
8bd24b00-f999-4578-b0a3-ea1bd714e21d,360Omar,Ascent,Competitive,Chamber,Centinela,28,2,14,15,"['MRMOLON82', '360DIST', 'PinkMonster', 'YAZEEED']",Silver,1,"['KAY/O', 'Reyna', 'Miks', 'Chamber', 'Cypher']",320.125,5,2,1,13,11,1787583728,"Monday, August 24, 2026 03:02 PM"
89e257a8-2670-4156-a8b4-904318a06edc,360Omar,Haven,Competitive,Chamber,Centinela,20,5,17,12,"['3ndoSki', 'PinkMonster', 'R3DA', '360DIST']",Silver,1,"['Omen', 'Chamber', 'Neon', 'Reyna', 'Gekko']",261.25,5,3,0,11,13,1787603180,"Monday, August 24, 2026 08:26 PM"
5e33a34f-1f73-4d80-9ef0-f0fe479edf31,360Omar,Ascent,Competitive,Chamber,Centinela,31,4,17,18,"['FerranTorres106', '360DIST', 'PinkMonster', 'Sigmund Freud']",Silver,1,"['Phoenix', 'Reyna', 'Miks', 'Raze', 'Chamber']",301.036,0,4,0,13,15,1787599184,"Monday, August 24, 2026 07:19 PM"
b0ad034a-3941-404f-a3c7-286d6421751d,360Omar,Ascent,Competitive,Breach,Iniciador,1,0,5,0,"['360DIST', 'mouad', 'zombozoo', 'Mamaabrelapuerta']",Silver,1,"['Reyna', 'Clove', 'Breach', 'Deadlock', 'Skye']",23.538,0,2,0,0,5,1787618650,"Tuesday, August 25, 2026 12:44 AM"
4fc9000b-e73f-4b94-b527-c9888e51271d,360Omar,Sunset,Competitive,KAY/O,Iniciador,25,12,18,16,"['jojoy1585', 'Kenirres', 'PinkMonster', '360DIST']",Silver,1,"['KAY/O', 'Harbor', 'Cypher', 'Neon', 'Reyna']",347.087,6,0,0,10,13,1787615323,"Monday, August 24, 2026 11:48 PM"
7a389cc6-5bb7-4194-b925-6ef08b2bdd1e,360Omar,Summit,Competitive,Chamber,Centinela,26,2,8,17,"['PinkMonster', 'LEIT', 'G2 Fénix', '360DIST']",Silver,1,"['Miks', 'Neon', 'Phoenix', 'Tejo', 'Chamber']",344.579,2,0,1,13,6,1787613364,"Monday, August 24, 2026 11:16 PM"
214280b1-aa81-424c-9d48-623459368572,360Omar,Summit,Competitive,Iso,Duelista,9,1,11,4,"['360DIST', 'marfruch', 'rodedog31', 'PinkMonster']",Silver,1,"['Cypher', 'Viper', 'Reyna', 'Miks', 'Iso']",195.467,2,2,0,2,10,1787675302,"Tuesday, August 25, 2026 04:28 PM"
6a3ad70e-4e38-49d4-90b4-850e09956db5,360Omar,Sunset,Competitive,Chamber,Centinela,23,4,8,16,"['ijghv', 'PinkMonster', '360DIST', 'tylerthecreator']",Silver,1,"['Reyna', 'Miks', 'Tejo', 'Phoenix', 'Chamber']",372.706,4,1,1,13,4,1787672050,"Tuesday, August 25, 2026 03:34 PM"
a46ee9a8-2747-44f4-b4b7-aa0771ac23f5,360Omar,Ascent,Competitive,Reyna,Duelista,14,5,14,13,"['MUGIWARA', 'SergioPRAR', 'Yolx', 'arracheur2kip']",Silver,1,"['Deadlock', 'Killjoy', 'Clove', 'Chamber', 'Reyna']",172.167,2,3,1,13,11,1787690299,"Tuesday, August 25, 2026 08:38 PM"
